id_empresas;razon_social;ruc;titulo;evaluaci�n_externa;evaluacion_legal;ratificado;estado;direccion;ubigeo;departamento;provincia;distrito;actividad_economica;sector_economico;telefono;correo;area_final;tipo_final;areas_detectadas;tipos_detectados
35;YK SHOPPING SPORT S.A.C.;20609939029;Integraci�n y optimizaci�n digital del servicio financiero-contable ofrecido por YK SHOPPING SPORT S.A.C. y fortalecimiento del posicionamiento online de la empresa.;Desaprobado;-;-;ACTIVO;CAL. CARLOS BACA FLOR NRO 541 DEP. 101 URB. INGENIERIA ;150135;LIMA;LIMA;SAN MARTIN DE PORRES;VENTA AL POR MENOR DE LIBROS PERIODICOS Y ARTICULOS DE PAPELERIA EN COMERCIOS ESPECIALIZADOS;"Comercio al por mayor y al por menor; reparaci�n de veh�culos automotores y motocicletas";929516310;ykcontadoresynegocios@gmail.com;TI / TRANSFORMACION DIGITAL;Automatizacion / Workflow (BPM / RPA);COMERCIAL / MARKETING / VENTAS;Automatizacion / Workflow (BPM / RPA)
39;CENTRO DE REHABILITACION ORAL E IMPLANTOLOGIA CONCHA S.R.L.;20605844546;Transformaci�n de la Experiencia del Paciente mediante servicios en la nube y Estrategias comerciales en el Centro Oral Concha S.R.L. para mejorar la gesti�n de historias Cl�nicas y Seguimiento de Pacientes;Desaprobado;-;-;ACTIVO;AV. SANTA ROSA NRO 505B URB. MARISCAL CASTILLA ;40104;AREQUIPA;AREQUIPA;CERRO COLORADO;ACTIVIDADES DE MEDICOS Y ODONTOLOGOS;Actividades de atenci�n de la salud humana y de asistencia social;989615631;kellycamilollaiqui@gmail.com;COMERCIAL;IA / Machine Learning;TECNOLOGIA / INNOVACION / TI;CIBERSEGURIDAD / INFRAESTRUCTURA
43;SOFTWARE Y HARDWARE INGENIEROS S.R.LTDA.;20231363255;TRANFORMACION DIGITAL EN LA OPTIMIZACION DE PROCESOS INTERNOS Y MEJORAS DE CALIDAD EN LOS SERVICIOS;Desaprobado;-;-;ACTIVO;SUB LOTE B NRO 1C PREDIO LOS ARENALES ;140112;LAMBAYEQUE;CHICLAYO;PIMENTEL;OTRAS ACTIVIDADES PROFESIONALES CIENTIFICAS Y TECNICAS NO CLASIFICADOS PREVIAMENTE;Actividades profesionales, cient�ficas y t�cnicas;988432896;jsalazar@sh.com.pe;OPERACIONES;Automatizacion / Workflow (BPM / RPA);CALIDAD / SEGURIDAD / SST;AUTOMATIZACION / WORKFLOW (BPM / RPA)
45;LEAD WORKING PARTNER SAC;20573215045;Optimizaci�n de herramientas digitales para aumentar la eficiencia del proceso comercial de la empresa LEADWORKING;Desaprobado;-;-;ACTIVO;JR. AREQUIPA NRO 1085 ;100601;HUANUCO;LEONCIO PRADO;RUPA-RUPA;CONSULTORIA DE INFORMATICA Y GESTION DE INSTALACIONES INFORMATICAS;Informaci�n y comunicaciones;987699591;unasbrian@gmail.com;COMERCIAL;IA / Machine Learning;COMERCIAL / MARKETING / VENTAS;IA / Machine Learning
46;PICANTERIA LA FONDA DE DON COCO E.I.R.L.;20605581065;Transformaci�n digital de la facturaci�n para agilizar la operaci�n, mejorar la experiencia y potenciar la presencia de la PICANTERIA LA FONDA DE DON COCO E.I.R.L.;Desaprobado;-;-;ACTIVO;AV. PAISAJISTA NRO 402 C.P. BELLAPAMPA ;40122;AREQUIPA;AREQUIPA;SOCABAYA;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;Actividades de alojamiento y de servicio de comidas;948998151;diego.edson.eft@gmail.com;FINANZAS;IA / Machine Learning;FINANZAS / CONTABILIDAD / TESORERIA | OPERACIONES / PRODUCCION / MANTENIMIENTO | TECNOLOGIA / INNOVACION / TI;IA / Machine Learning
48;IMC S.R.L.;20371326082;Estrategia de digitalizaci�n para optimizar la gesti�n operativa, el control de costos y la trazabilidad en IMC S.C.R.L.;Desaprobado;-;-;ACTIVO;CAL. LOS NARANJOS NRO 101 INT. B URB. OBANDO ;40101;AREQUIPA;AREQUIPA;AREQUIPA;FABRICACION DE PRENDAS DE VESTIR EXCEPTO PRENDAS DE PIEL;Industrias manufactureras;(054) 201160 - 945017070 ;vseguridad7@gmail.com;TI / TRANSFORMACION DIGITAL;Business Intelligence / Analytics;CALIDAD / SEGURIDAD / SST | DIRECCION / PLANEAMIENTO / GESTION;Business Intelligence / Analytics
53;MKG INFORMATICA E.I.R.L.;20602713165;Transformaci�n Digital para la Optimizaci�n de Ventas, Control Operativo y Gesti�n Comercial;Desaprobado;-;-;ACTIVO;CAL. TACNA NRO 243 SEC. PBL TRAD MIRAFLORES ;40101;AREQUIPA;AREQUIPA;AREQUIPA;CONSULTORIA DE INFORMATICA Y GESTION DE INSTALACIONES INFORMATICAS;Informaci�n y comunicaciones;937005811;ahumure@mkg.pe;COMERCIAL;CRM;COMERCIAL / MARKETING / VENTAS | TECNOLOGIA / INNOVACION / TI;CRM
55;FRATELLI  RODRIGUEZ INDUSTRIAS METALICAS  & SERVICIOS GENERALES EMPRESA INDIVIDUAL DE RESPONSABILIDA;20563817837;Implementaci�n de herramientas cloud para la gesti�n automatizada de inventarios y procesos de cotizaci�n en Fratelli;Desaprobado;-;-;ACTIVO;AV. NICANOR LARREA MZA. D LOTE 6 URB. NARANJAL ;80901;CUSCO;LA CONVENCION;SANTA ANA;FABRICACION DE PRODUCTOS METALICOS PARA USO ESTRUCTURAL;Industrias manufactureras;984936114;depsucifyo@gufum.com;OPERACIONES;Automatizacion / Workflow (BPM / RPA);TECNOLOGIA / INNOVACION / TI;AUTOMATIZACION / WORKFLOW (BPM / RPA) | CIBERSEGURIDAD / INFRAESTRUCTURA
59;CAMARA DE COMERCIO E INDUSTRIAS DEL PERU;20607251429;Implementar una soluci�n integral para impulsar la transformaci�n digital de la C�mara de Comercio e Industrias del Per� en la gesti�n de capacitaciones, membres�as y networking para impulsar su crecimiento;Desaprobado;-;-;ACTIVO;CAL. PAZ SOLDAN NRO 813 ;40101;AREQUIPA;AREQUIPA;AREQUIPA;ACTIVIDADES DE ASOCIACIONES EMPRESARIALES Y DE EMPLEADORES;Otras actividades de servicios;944259523;aaguilas2016@hotmail.com;TI / TRANSFORMACION DIGITAL;IA / Machine Learning;TECNOLOGIA / INNOVACION / TI;IA / Machine Learning
60;AGUILAS AMAZ�NICAS S.A.C.;20601526973;Cierre de brechas digitales en capital humano en �guilas Amaz�nica SAC mediante la implementaci�n de una plataforma tecnol�gica para incrementar la productividad;Desaprobado;-;-;ACTIVO;CAL. DANIEL ALCIDEZ CARRION NRO 838 ;160201;LORETO;ALTO AMAZONAS;YURIMAGUAS;ACTIVIDADES DE SEGURIDAD PRIVADA;Actividades de servicios administrativos y de apoyo;944259523;aaguilas2016@hotmail.com;TI / TRANSFORMACION DIGITAL;IA / Machine Learning;TECNOLOGIA / INNOVACION / TI;IA / Machine Learning
62;CONTAINER CAFFE E.I.R.L.;20608183061;REVOLUCION DIGITAL APLICADA A CONTAINER CAFE PARA EL CRECIMIENTO DE LA MARCA Y VENTAS TANTO EN LOCALES COMO EN VENTAS DIGITALES;Aprobado;No Acreditado;;ACTIVO;AV. MARISCAL RAMON CASTILLA NRO 255 URB. AURORA ;150122;LIMA;LIMA;MIRAFLORES;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;Actividades de alojamiento y de servicio de comidas;995544420;elsalvador.c25@gmail.com;COMERCIAL;CRM;COMERCIAL / MARKETING / VENTAS;CRM
63;BRILLA ALPACA COMPANY S.A.C.;20606054646;Digital Alpaca: Plataforma Integrada de Gesti�n Financiera y Presencia Web para la Competitividad Textil en Mercados Globales;Desaprobado;-;-;ACTIVO;AV. LOS GERANIOS MZA. F LOTE 12 URB. VIRGEN DEL CARMEN ;150103;LIMA;LIMA;ATE;FABRICACION DE PRENDAS DE VESTIR EXCEPTO PRENDAS DE PIEL;Industrias manufactureras;943668235;;TI / TRANSFORMACION DIGITAL;IA / Machine Learning;TECNOLOGIA / INNOVACION / TI;IA / Machine Learning
64;POP HUNTERS E.I.R.L.;20610074945;Optimizaci�n de la Gesti�n Empresarial mediante la Integraci�n de Procesos y Datos Digitales para Fortalecer la Coordinaci�n Interna, Mejorar la Experiencia del Cliente y Aumentar la Sostenibilidad de las Operaciones a Largo Plazo;Aprobado;No Acreditado;;ACTIVO;CAL. MANUEL ARRISUE�O NRO 630 URB. SANTA CATALINA ;150115;LIMA;LIMA;LA VICTORIA;VENTA AL POR MENOR DE JUEGOS Y JUGUETES EN COMERCIOS ESPECIALIZADOS;"Comercio al por mayor y al por menor; reparaci�n de veh�culos automotores y motocicletas";907508047;pophuntersperu@gmail.com;COMERCIAL;ERP;COMERCIAL / MARKETING / VENTAS | OPERACIONES / PRODUCCION / MANTENIMIENTO;AUTOMATIZACION / WORKFLOW (BPM / RPA) | ERP / GESTION INTEGRAL
67;TRANSPORTES E INVERSIONES CAAD EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;20567201202;Plan de transformaci�n digital para optimizar procesos internos, fortalecer la eficiencia log�stica y mejorar la experiencia de los usuarios en Transporte & Inversiones CAAD EIRL, contribuyendo al crecimiento sostenible;Aprobado;No Acreditado;;ACTIVO;CAL. PIURA NRO 162 ;160108;LORETO;MAYNAS;PUNCHANA;VENTA AL POR MENOR DE EQUIPO DE DEPORTE EN COMERCIOS ESPECIALIZADOS;"Comercio al por mayor y al por menor; reparaci�n de veh�culos automotores y motocicletas";(065)255968;cayoave@hotmail.es;OPERACIONES;Automatizacion / Workflow (BPM / RPA);ALMACEN / LOGISTICA / DISTRIBUCION | TECNOLOGIA / INNOVACION / TI;AUTOMATIZACION / WORKFLOW (BPM / RPA)
74;OKO ILUMINACION S.A.C.;20603521995;Optimizaci�n de la presencia digital y de los procesos comerciales de OKO Iluminaci�n mediante la implementaci�n de una estrategia de marketing B2B y la automatizaci�n del proceso comercial para mejorar la captaci�n de clientes y aumentar las ventas;Desaprobado;-;-;ACTIVO;CAL. EMBAJADOR CARLOS GARCIA B NRO 199 DEP. 202 ;150122;LIMA;LIMA;MIRAFLORES;VENTA AL POR MAYOR NO ESPECIALIZADA;"Comercio al por mayor y al por menor; reparaci�n de veh�culos automotores y motocicletas";989843992;katherine@okoluz.pe;COMERCIAL;CRM;COMERCIAL / MARKETING / VENTAS | DIRECCION / PLANEAMIENTO / GESTION;AUTOMATIZACION / WORKFLOW (BPM / RPA) | CRM
77;REPRESENTACIONES AGROINDUSTRIALES  XANDER E.I.R.L.;20525019625;Transformaci�n Digital Comercial para la Optimizaci�n de Branding, Labelling, Packing y Desarrollo de Nuevos Productos en la Industria de Harinas B2B de REPRESENTACIONES AGROINDUSTRIALES XANDER E.I.R.L.;Desaprobado;-;-;ACTIVO;MZA. M LOTE 1-14 URB. NIEVERIA ;150118;LIMA;LIMA;LURIGANCHO;VENTA AL POR MAYOR DE ALIMENTOS BEBIDAS Y TABACO;"Comercio al por mayor y al por menor; reparaci�n de veh�culos automotores y motocicletas";(01)3561071 - 947286849;No se encontró;COMERCIAL;IA / Machine Learning;ALMACEN / LOGISTICA / DISTRIBUCION | COMERCIAL / MARKETING / VENTAS | TECNOLOGIA / INNOVACION / TI;IA / Machine Learning
80;ASOCIADOS JYM S.A.C.;20609335468;Digitalizaci�n de los Procesos Formativos para la Mejora de la Gesti�n y Acceso a la Capacitaci�n T�cnica Profesional;Desaprobado;-;-;ACTIVO;MZA. C LOTE 5 DEP. 2 A.H. HORACIO ZEVALLOS ;150103;LIMA;LIMA;ATE;ENSE�ANZA SECUNDARIA DE FORMACION TECNICA Y PROFESIONAL;Ense�anza;933141532;ventas@asociadosjym.com;OPERACIONES;Automatizacion / Workflow (BPM / RPA);RRHH / TALENTO / CAPACITACION;AUTOMATIZACION / WORKFLOW (BPM / RPA)
81;CONFECCIONES CAVALD S.A.C.;20550590043;Digitalizaci�n para la Optimizaci�n de Procesos de Confecci�n y Comercializaci�n en CONFECCIONES CAVALD S.A.C.;Aprobado;No Acreditado;;ACTIVO;AV. ISABEL LA CATOLICA NRO 1606 INT. 02 URB. EL PORVENIR ;150115;LIMA;LIMA;LA VICTORIA;FABRICACION DE PRENDAS DE VESTIR EXCEPTO PRENDAS DE PIEL;Industrias manufactureras;946148346;confecciones.cavald@gmail.com;COMERCIAL;Automatizacion / Workflow (BPM / RPA);COMERCIAL;AUTOMATIZACION / WORKFLOW (BPM / RPA)
86;FUNDO EL ARCA S.A.C.;20604994641;Implementaci�n de Soluci�n Digital para mejorar la trazabilidad del procesamiento del caf� y mejorar la experiencia del cliente;Desaprobado;-;-;ACTIVO;AV. NI�O J. DE PRAGA LOTE 2A A.V. PAMPA DEL CARMEN ;120301;JUNIN;CHANCHAMAYO;CHANCHAMAYO;ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS NO CLASIFICADOS PREVIAMENTE;Industrias manufactureras;948493866;fundoelarca19@gmail.com;COMERCIAL;Business Intelligence / Analytics;CALIDAD / SEGURIDAD / SST | COMERCIAL / MARKETING / VENTAS;Business Intelligence / Analytics
87;JAMFEC S.A.C.;20601552419;Digitalizaci�n Integral de la Gesti�n Financiera y Administrativa de JAMFEC S.A.C. mediante la Implementaci�n de un Sistema ERP para la Optimizaci�n de Procesos y Toma de Decisiones Estrat�gicas;Desaprobado;-;-;ACTIVO;CAL. CARAZ NRO 1057 URB. COVIDA ET. UNO ;150117;LIMA;LIMA;LOS OLIVOS;ACTIVIDADES DE CONSULTORIA DE GESTION;Actividades profesionales, cient�ficas y t�cnicas;965383010;jbayona@jamfec.pe;OPERACIONES;ERP;TECNOLOGIA / INNOVACION / TI;AUTOMATIZACION / WORKFLOW (BPM / RPA) | ERP / GESTION INTEGRAL
88;CREACIONES TOSHELY S.R.L.;20306229878;Transformaci�n Digital para la Optimizaci�n de los Procesos de Marketing, Ventas y Gesti�n de Producci�n Textil en Creaciones Toshely S.R.L.;Aprobado;No Acreditado;;ACTIVO;JR. LAS GROSELLAS NRO 958 INT. A DEP. 3PIS URB. LAS VIOLETAS ;150132;LIMA;LIMA;SAN JUAN DE LURIGANCHO;FABRICACION DE PRENDAS DE VESTIR EXCEPTO PRENDAS DE PIEL;Industrias manufactureras;(01) 4586222;toshely_srl@yahoo.es;COMERCIAL;CRM;COMERCIAL / MARKETING / VENTAS | OPERACIONES / PRODUCCION / MANTENIMIENTO | TECNOLOGIA / INNOVACION / TI;AUTOMATIZACION / WORKFLOW (BPM / RPA)
90;CORPORACION SPS S.A.C.;20610710370;Automatizaci�n de la gesti�n de procesos de negocio y mejoras en el servicio al cliente;Desaprobado;-;-;ACTIVO;JR. JUAN GRIS NRO 186 INT. 102 ;150130;LIMA;LIMA;SAN BORJA;ACTIVIDADES DE CONSULTORIA DE GESTION;Actividades profesionales, cient�ficas y t�cnicas;998550921;contacto@corpsps.com;COMERCIAL;Automatizacion / Workflow (BPM / RPA);COMERCIAL / MARKETING / VENTAS | SERVICIO AL CLIENTE / ATENCION;AUTOMATIZACION / WORKFLOW (BPM / RPA)
91;O & S CORPORACION MEDICA S.A.C.;20603520701;Transformaci�n Digital de O & S Corporaci�n M�dica para reducir la Brecha Tecnol�gica y optimizar la Fidelizaci�n de pacientes en la ciudad de Huancayo.;Desaprobado;-;-;ACTIVO;PJ. SANTA ROSA NRO 193A ;120101;JUNIN;HUANCAYO;HUANCAYO;ACTIVIDADES DE HOSPITALES;Actividades de atenci�n de la salud humana y de asistencia social;964771415;orpeccad@hotmail.com;TI / TRANSFORMACION DIGITAL;Automatizacion / Workflow (BPM / RPA);COMERCIAL / MARKETING / VENTAS | TECNOLOGIA / INNOVACION / TI;CRM
92;SR. CAMBIO S.A.C.;20606465646;IMPLEMENTAR UNA ESTRATEGIA DIGITAL DIRIGIDA A POSICIONAR LA MARCA DE NUESTRO PRODUCTO SR. CAMBIO DENTRO DE LAS 10 PRINCIPALES CASAS DE CAMBIO ONLINE.;Desaprobado;-;-;ACTIVO;CAL. ARIAS SCHEREIBER NRO 165 URB. LA AURORA ;150122;LIMA;LIMA;MIRAFLORES;OTROS TIPOS DE INTERMEDIACION MONETARIA;Actividades financieras y de seguros;957270055;dalmecio.quisped@gmail.com;TI / TRANSFORMACION DIGITAL;Business Intelligence / Analytics;COMERCIAL / MARKETING / VENTAS | DIRECCION / PLANEAMIENTO / GESTION;Business Intelligence / Analytics
94;GRUPO CARREFOUR S.A.C.;20606736704;Digitalizaci�n y automatizaci�n para la eficiencia en nuestros procesos y fortalecimiento de canales digitales;Desaprobado;-;-;ACTIVO;CAL. BALTAZAR VILLALONGA NRO 1491 INT. 2PIS ;130102;LA LIBERTAD;TRUJILLO;EL PORVENIR;FABRICACION DE CALZADO;Industrias manufactureras;902848385;luisjoaquin22@gmail.com;OPERACIONES;Automatizacion / Workflow (BPM / RPA);OPERACIONES;AUTOMATIZACION / WORKFLOW (BPM / RPA)
95;ALFA C Y C INVERSIONES S.A.C.;20605130004;Implementaci�n de IoT para Gesti�n Sostenible de Repuestos en Desuso para su reutilizaci�n con integraci�n de sistema integral de gesti�n para ALFA C Y C INVERSIONES;Desaprobado;-;-;ACTIVO;AV. MEXICO NRO 930 ;140105;LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES NO CLASIFICADOS PREVIAMENTE;Otras actividades de servicios;954571228;informes@alfacycinversiones.com;TI / TRANSFORMACION DIGITAL;ERP;TECNOLOGIA / INNOVACION / TI;ERP / GESTION INTEGRAL | IOT / SENSORIZACION
96;INVERSIONES GENERALES ANBEK S.A.C.;20604832684;Implementaci�n de un Sistema Integral para mejorar la Eficiencia Operativa y Gesti�n de Proyectos en INVERSIONES GENERALES ANBEK S.A.C.;Desaprobado;-;-;ACTIVO;JR. BOLDO NRO 240 URB. AMELIA OYAGUE ;120114;JUNIN;HUANCAYO;EL TAMBO;ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA;Actividades profesionales, cient�ficas y t�cnicas;915347017;inversionesanbeksac@gmail.com;TI / TRANSFORMACION DIGITAL;ERP;OPERACIONES / PRODUCCION / MANTENIMIENTO | TECNOLOGIA / INNOVACION / TI;ERP / GESTION INTEGRAL
99;ZANNIA E.I.R.L.;20606494778;Digitalizaci�n de procesos administrativos y operativos para el fortalecimiento de la gesti�n empresarial de Zannia EIRL;Desaprobado;-;-;ACTIVO;AV. DEL AIRE NRO 1685 URB. LA VI�A ;150134;LIMA;LIMA;SAN LUIS;VENTA AL POR MAYOR DE ALIMENTOS BEBIDAS Y TABACO;"Comercio al por mayor y al por menor; reparaci�n de veh�culos automotores y motocicletas";992334538;dayanamolinat@gmail.com;OPERACIONES;ERP;OPERACIONES;AUTOMATIZACION / WORKFLOW (BPM / RPA) | ERP / GESTION INTEGRAL
100;TRINITY LOGISTICS ADUANERA S.A.C.;20609416557;Transformaci�n Digital y Optimizaci�n Log�stica para una Gesti�n Sostenible de Procesos Operativos: Digitalizaci�n Documental, Eficiencia Energ�tica y Gesti�n de Flota para Reducir Costos y Mejorar la Productividad de TRINITY LOGISTICS ADUANERA S.A.C.;Desaprobado;-;-;ACTIVO;PJ. INTERINO 2 MZA. D LOTE 29 A.H. SANTA ROSA ;70101;CALLAO;PROV. CONST. DEL CALLAO;CALLAO;MANIPULACION DE LA CARGA;Transporte y almacenamiento;944195941;liz_tauro8@hotmail.com;OPERACIONES;Automatizacion / Workflow (BPM / RPA);ALMACEN / LOGISTICA / DISTRIBUCION | TECNOLOGIA / INNOVACION / TI;AUTOMATIZACION / WORKFLOW (BPM / RPA) | FIRMA DIGITAL / GESTION DOCUMENTAL
101;LA CASA DEL ABUELO E.I.R.L.;20573906200;Digitalizaci�n de procesos en la organizaci�n de eventos para reducir la Brecha Tecnol�gica y Aumentar la Eficiencia Operativa.;Desaprobado;-;-;ACTIVO;CAL. LOS GERANIOS NRO 308 DEP. 504 OTR. RIVERA NAVARRETE ;150116;LIMA;LIMA;LINCE;ACTIVIDADES CREATIVAS ARTISTICAS Y DE ENTRETENIMIENTO;Actividades art�sticas, de entretenimiento y recreativas;964657530;maryleonc2010@hotmail.com;OPERACIONES;Automatizacion / Workflow (BPM / RPA);OPERACIONES / PRODUCCION / MANTENIMIENTO;AUTOMATIZACION / WORKFLOW (BPM / RPA)
